0,1,2,3
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.001,0.001,0.006,0.001
0.0,0.014,0.024,0.013000000000000001
0.01,0.045,0.075,0.03
0.021,0.113,0.151,0.065
0.042,0.158,0.228,0.095
0.038,0.201,0.277,0.127
0.051000000000000004,0.215,0.312,0.123
0.047,0.23,0.33,0.123
0.048,0.223,0.309,0.126
0.041,0.188,0.276,0.10200000000000001
0.03,0.139,0.189,0.077
0.015,0.082,0.126,0.041
0.005,0.031,0.041,0.023
0.001,0.01,0.006,0.004
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.284,0.275,0.224,0.217
